user,item,rating,user_id,item_id
1,1221,5.0,0,982
1,16,4.0,0,15
1,1061,4.0,0,863
1,1222,5.0,0,983
1,780,3.5,0,646
1,1213,5.0,0,974
1,480,3.5,0,426
1,3421,4.5,0,2711
1,110,4.0,0,98
1,589,3.5,0,522
1,2858,4.0,0,2280
1,1243,3.5,0,1002
1,6365,4.5,0,4695
1,1267,4.0,0,1026
1,6711,3.5,0,4907
1,2542,4.5,0,2032
1,33794,4.5,0,6638
1,4993,4.5,0,3884
1,4027,3.5,0,3175
1,2028,4.5,0,1589
1,457,4.0,0,405
1,48780,4.0,0,7175
1,161,4.0,0,137
1,2716,3.5,0,2170
1,1258,4.5,0,1017
1,5445,3.5,0,4171
1,2396,4.0,0,1905
1,4011,4.5,0,3161
1,648,3.5,0,564
1,2021,4.0,0,1582
1,4963,3.5,0,3858
1,49272,3.5,0,7195
1,318,4.0,0,279
1,54286,4.0,0,7434
1,3578,4.0,0,2835
1,858,5.0,0,695
1,5952,4.5,0,4456
1,1196,4.5,0,958
1,2502,4.0,0,2000
1,590,3.5,0,523
1,4085,3.5,0,3217
1,50,4.0,0,47
1,724,3.5,0,613
1,1617,3.5,0,1295
1,349,4.5,0,309
1,5378,3.5,0,4125
1,296,4.0,0,260
1,1287,4.5,0,1046
1,32587,4.5,0,6559
1,5418,4.0,0,4152
1,2947,3.5,0,2356
1,2571,4.5,0,2055
1,52973,3.5,0,7371
1,608,3.5,0,537
1,1210,4.5,0,971
1,2194,4.5,0,1747
1,1198,4.0,0,960
2,1,5.0,1,0
2,14,4.0,1,13
2,58,4.0,1,53
2,1073,4.0,1,872
2,780,4.0,1,646
2,805,5.0,1,661
2,648,4.0,1,564
2,802,4.0,1,658
2,17,5.0,1,16
2,661,4.0,1,571
2,1356,4.0,1,1102
3,595,4.0,2,527
3,648,4.0,2,564
3,39,4.0,2,36
3,272,5.0,2,241
3,586,4.0,2,519
3,500,4.0,2,445
3,50,5.0,2,47
3,509,5.0,2,453
3,480,4.0,2,426
3,296,5.0,2,260
3,342,5.0,2,302
3,150,4.0,2,126
3,300,4.0,2,263
3,246,5.0,2,216
3,357,4.0,2,317
3,222,5.0,2,193
3,593,5.0,2,525
3,11,4.0,2,10
3,497,4.0,2,442
3,45,5.0,2,42
3,232,4.0,2,203
3,21,5.0,2,20
3,800,5.0,2,656
3,417,4.0,2,365
3,34,5.0,2,33
3,527,4.0,2,471
3,613,4.0,2,542
4,2761,4.0,3,2207
4,2725,5.0,3,2179
4,2212,4.0,3,1763
4,3260,4.0,3,2599
4,1185,4.0,3,948
4,2739,5.0,3,2193
4,2019,4.0,3,1580
4,1233,5.0,3,993
4,30,4.0,3,29
4,527,4.0,3,471
4,1936,5.0,3,1501
4,1085,5.0,3,882
4,916,4.0,3,737
4,213,4.0,3,185
4,1094,4.0,3,891
4,945,4.0,3,765
4,593,4.0,3,525
4,936,4.0,3,756
4,1284,4.0,3,1043
4,2935,4.0,3,2344
4,1225,5.0,3,986
4,1949,5.0,3,1514
4,910,5.0,3,731
4,1997,5.0,3,1559
4,3035,5.0,3,2424
4,318,4.0,3,279
4,1224,4.0,3,985
4,573,4.0,3,511
4,1250,5.0,3,1009
4,1358,4.0,3,1104
4,947,4.0,3,767
4,2186,4.0,3,1739
4,2132,5.0,3,1687
4,296,4.0,3,260
4,1247,4.0,3,1006
4,1276,5.0,3,1035
4,1203,5.0,3,965
4,912,5.0,3,733
4,1254,5.0,3,1013
4,1196,4.0,3,958
4,307,5.0,3,270
4,3114,5.0,3,2495
4,946,4.0,3,766
4,919,5.0,3,740
